 "id","13","0","5","14","12"

"### 翻译贡献者 / Translators"

"## TOH"
"#13 SChinese: fivefirex & ZeMing & OH233 &  2T & MC-AS-Huier & xiaojin & xyjx001& Tanakanira"

"## TOHE"
"#13 SChinese: KARPED1EM"
"#00 English: Tommy-XL & Tem & Gurge44 & KARPED1EM & SolarFlare"
"#05 Russian: Tommy-XL & Tem & chill_ultimated"
"#14 TChinese: 阿龍 & 法官"

"### If you want to translate the mod into other languages -"
"### Visit: https://crowdin.com/project/tohe"
"### Thank you very much for translating for us"

"### 生草以及翻译者你好呀！"
"### 其实一直想跟你道个谢，毕竟翻译是一件很累的事情"
"### 即便如此，你还是选择来支持我这个微不足道的小模组"
"### TOHE因你变得更好、变得更加强大啦"
"### 或许我们在未来的路上会经历许多坎坷，或许TOHE的昙花一现就此落幕"
"### 但感谢有你，感谢TOHE短暂的生命中的每一位过客"

"## 作者署名（会显示在右上角，不需要请留空）/ A sign of an author (Please leave blank when not needed)"
"TextBelowVersionText","","Source code","","",""

"# Customize via dat file"
"HostText","TOHER","Host","Хост","",""
"HostColor","#902efd","#902efd","#902efd","#902efd","#902efd"
"IconColor","#4bf4ff","#4bf4ff","#4bf4ff","#4bf4ff","#4bf4ff"
"Icon","♥","♥","♥","♥","♥"
"NameColor","#ffc0cb","#ffc0cb","#ffc0cb","#ffc0cb","#ffc0cb"

"## Alignment Sub Text"
"SubText.Crewmate","做任务和找出<color=#ff1919>内鬼</color>","Find and exile the <color=#ff1919>Impostors</color>","Найди и кикни <color=#ff1919>Предателей</color>","",""
"SubText.Impostor","杀光所有的<color=#8cffff>船员</color>","Sabotage and kill everyone","Устраните <color=#8cffff>Членов Экипажа</color>","",""
"SubText.Neutral","完成你的胜利条件","Work alone to achieve your victory","Играйте в одиночку, чтобы добиться своей победы","",""
"SubText.Madmate","帮助<color=#8cffff>内鬼阵营</color>","Help the <color=#ff1919>Impostors</color>","Устраните <color=#8cffff>Членов Экипажа</color>","",""

"# 职业类型 / Role Type"
"TypeImpostor","内鬼职业","Impostors","Предатели","偽裝者職業",""
"TypeCrewmate","船员职业","Crewmates","Члены Экипажа","船員職業",""
"TypeNeutral","中立职业","Neutrals","Нейтралы","中立職業",""
"TypeAddon","附加职业","Add-ons","Атрибуты","附加職業",""

"# 阵营 / Teams"
"TeamImpostor","内鬼阵营","Impostor","Предатель","偽裝者陣營","EquipoImpostor"
"TeamNeutral","中立阵营","Neutral","Нейтрал","中立陣營","EquipoNeutro"
"TeamCrewmate","船员阵营","Crewmate","Член Экипажа","船員陣營",""
"TeamMadmate","叛徒","Madmate","Безумец","",""

"## You are [TEAM-NAME]"
"YouAreCrewmate","你是船员","You are a Crewmate","","",""
"YouAreImpostor","你是内鬼","You are an Impostor","","",""
"YouAreNeutral","你是中立","You are a Neutral","","",""
"YouAreMadmate","你是叛徒","You are a Madmate","","",""

"## You are [TEAM-NAME]: Sub texts"
"CrewmateSub",做任务和找出<color=#ff1919>内鬼</color>","Find and exile the <color=#ff1919>Impostors</color>","Найди и кикни <color=#ff1919>Предателей</color>","",""
"ImpostorSub","杀光所有的<color=#8cffff>船员</color>","Sabotage and kill everyone","Устраните <color=#8cffff>Членов Экипажа</color>","",""
"NeutralSub","完成你的胜利条件","Work alone to achieve your victory","Играйте в одиночку, чтобы добиться своей победы","",""
"MadmateSub","帮助<color=#8cffff>内鬼</color>","Help the <color=#ff1919>Impostors</color>","Устраните <color=#8cffff>Членов Экипажа</color>","",""

"## 个人竞技模式 / PVP"
"KB_Normal","挑战者","Challenger","Боец","挑戰者","KB_Normal"
"KB_NormalInfo","击败所有人！","Kill all of them!","Уничтожь их!","擊敗所有人!","Derrota a todos!"

"## Roles in Settings"
"Role.Crewmate","<color=#8cffff>船员</color>","<color=#8cffff>Crewmate</color>","<color=#8cffff>Член Экипажа</color>","",""
"Role.Jester","<color=#ec62a5>小丑</color>","<color=#ec62a5>Jester</color>","<color=#ec62a5>Шут</color>","",""
"Role.Opportunist","<color=#4dff4d>投机者</color>","<color=#4dff4d>Opportunist</color>","<color=#4dff4d>Выживший</color>","",""
"Role.Convict","<color=#ff1919>罪犯</color>","<color=#ff1919>Convict</color>","<color=#ff1919>Осужденный</color>","",""
"Role.Celebrity","<color=#ee4a55>大明星</color>","<color=#ee4a55>Celebrity</color>","<color=#ee4a55>Знаменитость</color>","",""
"Role.Bodyguard","<color=#185abd>保镖</color>","<color=#185abd>Bodyguard</color>","<color=#185abd>Телохранитель</color>","",""
"Role.Dictator","<color=#df9b00>独裁者</color>","<color=#df9b00>Dictator</color>","<color=#df9b00>Диктатор</color>","",""
"Role.Mayor","<color=#204d42>市长</color>","<color=#204d42>Mayor</color>","<color=#204d42>Мэр</color>","",""
"Role.Doctor","<color=#80ffdd>法医</color>","<color=#80ffdd>Doctor</color>","<color=#80ffdd>Доктор</color>","",""
"Role.Maverick","<color=#781717>独行者</color>","<color=#781717>Maverick</color>","","",""
"Role.Witch","<color=#BF5FFF>女巫</color>","<color=#BF5FFF>Witch</color>","","",""
"Role.Pursuer","<color=#617218>追击者</color>","<color=#617218>Pursuer</color>","","",""
"Role.Follower","<color=#ff9409>赌徒</color>","<color=#ff9409>Follower</color>","","",""
"Role.Amnesiac","<color=#7FBFFF>失忆者</color>","<color=#7FBFFF>Amnesiac</color>","","",""
"Role.Sheriff","<color=#ffb347>警长</color>","<color=#ffb347>Sheriff</color>","","",""
"Role.Knight","<color=#7A7A7A>侠客</color>","<color=#7A7A7A>Knight</color>","","",""
"Role.Deputy","<color=#DF9026>捕快</color>","<color=#DF9026>Deputy</color>","","",""


"## Guesser Mode"
"GuesserMode","赌怪模式","Guesser Mode","Режим Угадывателей","",""
"CrewmatesCanGuess","<color=#8cffff>船员</color>可以猜测","<color=#8cffff>Crewmates</color> can guess","<color=#8cffff>Члены Экипажа</color> могут угадывать роли","",""
"ImpostorsCanGuess","<color=#ff1919>内鬼</color>可以猜测","<color=#ff1919>Impostors</color> can guess","<color=#ff1919>Предатели</color> могут угадывать роли","",""
"NeutralKillersCanGuess","<color=#ffab1b>有刀中立</color>可以猜测","<color=#7f8c8d>Neutral Killers</color> can guess","<color=#7f8c8d>Нейтральные Убийцы</color> могут угадывать роли","",""
"PassiveNeutralsCanGuess","<color=#ffab1b>无刀中立</color>可以猜测","Passive <color=#7f8c8d>Neutrals</color> can guess","Пассивные <color=#7f8c8d>Нейтралы</color> могут угадывать роли","",""
"CovenCanGuess","<color=#8e44ad>巫师</color>成员可以猜测","<color=#8e44ad>Coven</color> members can guess","<color=#8e44ad>Ковены</color> могут угадывать роли","",""
"CanGuessAddons","可以猜测附加职业","Can Guess Add-ons","Могут угадывать Атрибуты","",""
"CrewCanGuessCrew","<color=#8cffff>船员</color>可以猜测 <color=#8cffff>船员</color>身份","<color=#8cffff>Crewmates</color> Can Guess <color=#8cffff>Crewmate</color> Roles","<color=#8cffff>Члены Экипажа</color> могут угадать роли других <color=#8cffff>Членов Экипажа</color>","",""
"ImpCanGuessImp","<color=#ff1919>内鬼</color>可以猜测<color=#ff1919>内鬼</color>身份","<color=#ff1919>Impostors</color> Can Guess <color=#ff1919>Impostor</color> Roles","<color=#ff1919>Предатели</color> могут угадать роли других <color=#ff1919>Предателей</color>","",""


"## Guesser Mode - Addon Config"
"AddonSettingsCrew","<color=#8cffff>船员</color>配置","<color=#8cffff>Crewmate</color> Configuration","Настройка <color=#8cffff>Членов Экипажа</color>","",""
"AddonSettingsImp","<color=#ff1919>内鬼</color>配置","<color=#ff1919>Impostor</color> Configuration","Настройка <color=#ff1919>Предателей</color>","",""
"AddonSettingsNeut","<color=#7f8c8d>中立</color>配置","<color=#7f8c8d>Neutral</color> Configuration","Настройка <color=#7f8c8d>Нейтралов</color>","",""

"## Guesser Mode - Addon Config Settings"
